source_file,dataset,n_images,mean_ier,mean_set_precision,mean_set_recall,mean_set_f1
ocr_got.csv,blur,137,1.0057,0.1152,0.05,0.0618
ocr_got.csv,indoor,137,0.9882,0.1903,0.0741,0.0958
ocr_got.csv,low_light,137,0.9871,0.1857,0.0632,0.0854
ocr_got.csv,night,137,0.9949,0.083,0.0282,0.0395
ocr_got.csv,original,137,0.9874,0.1881,0.0625,0.0847
ocr_paddle_fuzzy.csv,blur,137,0.9025,0.3417,0.2585,0.2641
ocr_paddle_fuzzy.csv,indoor,137,0.8448,0.435,0.3575,0.356
ocr_paddle_fuzzy.csv,low_light,137,0.8498,0.4486,0.3599,0.3564
ocr_paddle_fuzzy.csv,night,137,0.9072,0.2366,0.184,0.1861
ocr_paddle_fuzzy.csv,original,137,0.8463,0.4331,0.3567,0.3544
ocr_paddle_fuzzy_FINAL_original_full_validation.csv,original,216,0.6709,0.5604,0.578,0.5515
ocr_paddle_only.csv,blur,137,0.8342,0.3518,0.2406,0.2614
ocr_paddle_only.csv,indoor,137,0.7609,0.4636,0.3376,0.3601
ocr_paddle_only.csv,low_light,137,0.7603,0.4789,0.346,0.3666
ocr_paddle_only.csv,night,137,0.8618,0.2638,0.1851,0.1998
ocr_paddle_only.csv,original,137,0.7592,0.4551,0.3407,0.3612
preprocess_best_combination.csv,blur,137,0.9096,0.3143,0.2226,0.2259
preprocess_best_combination.csv,indoor,137,0.8731,0.3782,0.3023,0.2972
preprocess_best_combination.csv,low_light,137,0.86,0.3636,0.2978,0.2917
preprocess_best_combination.csv,night,137,0.9121,0.2164,0.1636,0.1652
preprocess_best_combination.csv,original,137,0.8724,0.3691,0.2997,0.2925
preprocess_best_plus_fuzzy.csv,blur,137,0.8982,0.3448,0.2747,0.2751
preprocess_best_plus_fuzzy.csv,indoor,137,0.8388,0.467,0.373,0.3695
preprocess_best_plus_fuzzy.csv,low_light,137,0.8433,0.456,0.3686,0.3654
preprocess_best_plus_fuzzy.csv,night,137,0.8983,0.2534,0.193,0.196
preprocess_best_plus_fuzzy.csv,original,137,0.8369,0.4463,0.3717,0.3677
preprocess_contrast_adaptive.csv,blur,137,0.8442,0.339,0.2252,0.2493
preprocess_contrast_adaptive.csv,indoor,137,0.7741,0.4431,0.313,0.3349
preprocess_contrast_adaptive.csv,low_light,137,0.8095,0.4154,0.2784,0.3031
preprocess_contrast_adaptive.csv,night,137,0.8833,0.245,0.1587,0.1763
preprocess_contrast_adaptive.csv,original,137,0.7771,0.4472,0.3108,0.336
preprocess_denoise.csv,blur,137,0.9219,0.1918,0.1181,0.131
preprocess_denoise.csv,indoor,137,0.8365,0.3642,0.2428,0.2661
preprocess_denoise.csv,low_light,137,0.7884,0.4431,0.3116,0.3345
preprocess_denoise.csv,night,137,0.8689,0.2716,0.1826,0.1981
preprocess_denoise.csv,original,137,0.8213,0.3844,0.2562,0.2793
preprocess_deskew.csv,blur,137,0.8175,0.3682,0.266,0.2858
preprocess_deskew.csv,indoor,137,0.7451,0.5054,0.3609,0.3839
preprocess_deskew.csv,low_light,137,0.7428,0.506,0.3644,0.3869
preprocess_deskew.csv,night,137,0.8586,0.2872,0.1914,0.2094
preprocess_deskew.csv,original,137,0.7435,0.4843,0.3607,0.3835
preprocess_grayscale.csv,blur,137,0.8247,0.3763,0.2549,0.2776
preprocess_grayscale.csv,indoor,137,0.7541,0.4813,0.3395,0.361
preprocess_grayscale.csv,low_light,137,0.7542,0.4851,0.3459,0.3681
preprocess_grayscale.csv,night,137,0.8636,0.2561,0.1837,0.198
preprocess_grayscale.csv,original,137,0.7527,0.4728,0.341,0.3612
preprocess_invert.csv,original,3,0.286,0.8667,0.8839,0.8751
preprocess_multitier_fallback.csv,blur,137,0.863,0.2621,0.1941,0.2098
preprocess_multitier_fallback.csv,indoor,137,0.8027,0.3683,0.2739,0.2891
preprocess_multitier_fallback.csv,low_light,137,0.812,0.3446,0.2618,0.2775
preprocess_multitier_fallback.csv,night,137,0.8949,0.202,0.1452,0.1567
preprocess_multitier_fallback.csv,original,137,0.7992,0.3527,0.2787,0.2901
preprocess_sharpen.csv,blur,137,0.8339,0.3667,0.2498,0.272
preprocess_sharpen.csv,indoor,137,0.7905,0.4261,0.3029,0.3269
preprocess_sharpen.csv,low_light,137,0.7676,0.4847,0.3362,0.3604
preprocess_sharpen.csv,night,137,0.8757,0.2432,0.1718,0.1866
preprocess_sharpen.csv,original,137,0.7925,0.4026,0.2892,0.3068
preprocess_threshold.csv,blur,137,0.9593,0.0759,0.0635,0.0652
preprocess_threshold.csv,indoor,137,0.9366,0.1093,0.0913,0.093
preprocess_threshold.csv,low_light,137,0.9432,0.0977,0.0801,0.0825
preprocess_threshold.csv,night,137,0.9677,0.0555,0.0425,0.044
preprocess_threshold.csv,original,137,0.941,0.1024,0.0847,0.0871
preprocess_tiled_ocr.csv,blur,137,0.8418,0.3577,0.238,0.2586
preprocess_tiled_ocr.csv,indoor,137,0.767,0.4848,0.3401,0.3649
preprocess_tiled_ocr.csv,low_light,137,0.7714,0.4668,0.3334,0.3535
preprocess_tiled_ocr.csv,night,137,0.8697,0.2566,0.1834,0.1972
preprocess_tiled_ocr.csv,original,137,0.7628,0.4913,0.3454,0.3679
preprocess_upscale.csv,blur,137,0.8457,0.3486,0.2238,0.2408
preprocess_upscale.csv,indoor,137,0.7753,0.4265,0.3133,0.327
preprocess_upscale.csv,low_light,137,0.7729,0.4107,0.3083,0.32
preprocess_upscale.csv,night,137,0.8711,0.2463,0.1695,0.1827
preprocess_upscale.csv,original,137,0.7668,0.4201,0.3137,0.325
preprocess_upscale800.csv,blur,137,0.8603,0.2698,0.1995,0.2135
preprocess_upscale800.csv,indoor,137,0.8048,0.3852,0.2716,0.2861
preprocess_upscale800.csv,low_light,137,0.7943,0.3816,0.2815,0.2929
preprocess_upscale800.csv,night,137,0.8941,0.1847,0.1381,0.1472
preprocess_upscale800.csv,original,137,0.8011,0.3724,0.2704,0.2841
